seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
1,fail,1775881484621855935,,,,"Error: server returned an error response: error code -32000: insufficient funds for transfer ",send
2,fail,1775881484946017185,,,,"Error: server returned an error response: error code -32000: insufficient funds for transfer ",send
3,fail,1775881485266853755,,,,"Error: server returned an error response: error code -32000: insufficient funds for transfer ",send
4,fail,1775881485603825169,,,,"Error: server returned an error response: error code -32000: insufficient funds for transfer ",send
5,fail,1775881485938326965,,,,"Error: server returned an error response: error code -32000: insufficient funds for transfer ",send
6,fail,1775881486264867784,,,,"Error: server returned an error response: error code -32000: insufficient funds for transfer ",send
7,keep,1775881486602409480,,,,"Error: server returned an error response: error code -32000: insufficient funds for transfer ",send
8,keep,1775881486955957635,0xcde7c002665df555c35cc3ec737f4405ef7466b6df4fcf5b8454d29ae430bd2f,0x1,0x641,2704.598,,
9,keep,1775881490157192463,0xde7e1dd1df2d2574b0af1af9547ed1503411bd75bda4487b58b9e780e1aab4dd,0x1,0x643,1743.698,,
10,keep,1775881492404325708,0x99ad4cc42132d02e1e24097c7305c47797dc963b3353742fa585537ce833b589,0x1,0x644,1670.096,,
11,keep,1775881494600482702,0x47253c8860f6be3e045b01edc05eca928e22ff2b35ddff100c7f7f192dd6b12f,0x1,0x645,1781.813,,
12,keep,1775881496932006988,0xbbab0e321be54fe31059fb6dd42241029d2960fc3fb7b768de13bf9c737e5f76,0x1,0x646,1726.417,,
13,keep,1775881499140116285,0xe62076d0612fde5440ca2d5cc2179e844891733c4d97bf3cbc6e6f322ef1f6e8,0x1,0x647,1733.734,,
14,keep,1775881501293524095,0x24d2f420882e0b2d2a93b790c40bc42b291d3bfb4214a27ce9782187291eccac,0x1,0x648,1707.482,,
15,keep,1775881503514600331,0xdad8b29785af626c11adf74d712c645a9f1bb7ff86675a1c166e74406ecd85ee,0x1,0x649,1746.082,,
16,keep,1775881505789485356,0xf89a2c3c77ae4fb9aac98e9d1d885c0aa2ff1e54be54005271def81f94b4cf5d,0x1,0x64a,1715.999,,
17,keep,1775881507961238326,0xd95c753d65a35dd2bcf063f515b1b6dcef9594871ba0fd656cefe80ab61af1ce,0x1,0x64b,1704.361,,
18,keep,1775881510185308363,0xc617582ccb3e479edb67bd88c45692bb7c5626b3ccb556bc459bf3c86e82d968,0x1,0x64c,1679.879,,
19,keep,1775881512272659590,0x52decff59167c6ab6f451253046b2438333c1bcc3862e1e6ab9261313713947e,0x1,0x64d,1625.757,,
20,keep,1775881514325147528,0xda69787b75f077223704043bcbdd6730e263708e0b109531315cc4c11031fbb2,0x1,0x64e,1689.419,,
21,keep,1775881516474082918,0x3555aaf32c3d92f7354371258a408352c4314bc85486eb0772c1e0aa626a1afa,0x1,0x64f,1751.308,,
22,keep,1775881518767727068,0xdcd9421462b92c0d73cbb8d0cd549abba53e351825dd8c9c6338f430d75356f2,0x1,0x650,1707.99,,
23,keep,1775881520998983160,0xcf1a8ba5fae20a97e7290420e689a22bd8e9b7805fe51928ebadf07740229454,0x1,0x651,1699.028,,
24,keep,1775881523083179797,0x3db1179b3c859d9cca72d54f29c6f881bc383edaacc66588fdf7d47daae80524,0x1,0x652,1683.76,,
25,keep,1775881525215206600,0xccd6246639c00d7beb40bd85f02f48af8e25a0c9866c683324ccdcdcb22a86ec,0x1,0x654,1734.632,,
26,keep,1775881527403799954,0x4c0369f8e58e762bb1c3fee99248d91d88a2c3c2d232436cbac7ae192ccc4996,0x1,0x655,1712.3,,
27,keep,1775881529544193808,0xf44b15113e9e4890f55a869b1898e4069dbf5154665da8b1f91bb23e859e9abd,0x1,0x656,1669.475,,
28,keep,1775881531630069867,0x81fd8f2350f980586e4eec27a17b7454e6b5c0aa0e2d99766a74c0ea6a7cc6b3,0x1,0x657,1680.273,,
29,keep,1775881533711635905,0xb304e3665ee548d19a71d5c5a697aa5750ac298f499e32b29510dc23533b732b,0x1,0x658,1714.58,,
30,keep,1775881535851021343,0xa9c7e751f69df9d2f13669b10e19c72280b1f88f21158e2f3e5bc4221cbc660a,0x1,0x659,1732.151,,
31,keep,1775881538062917816,0x668cc5e2436d370ed1803de5a0efbf926bd9285edf211f4bc995e283eaa5b67f,0x1,0x65a,1732.664,,
32,keep,1775881540214458118,0x62a15147e4c74dd99d8914b8ca410411dff275d6424b774d16a1f2978c18862d,0x1,0x65b,1736.761,,
33,keep,1775881542378468804,0xb02374612c21d347685c710329fc409311574b42121b362e883b8bb8bccb968c,0x1,0x65c,1649.208,,
