seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
1,fail,1775881618434796128,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0xa70d318eefd8032c31011932284f3fdc8128077e6bce0a3c17068055c7c8934e] ",send
2,fail,1775881621869992689,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0xa70d318eefd8032c31011932284f3fdc8128077e6bce0a3c17068055c7c8934e] ",send
3,fail,1775881625267325022,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0xa70d318eefd8032c31011932284f3fdc8128077e6bce0a3c17068055c7c8934e] ",send
4,fail,1775881627876053466,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0xa70d318eefd8032c31011932284f3fdc8128077e6bce0a3c17068055c7c8934e] ",send
5,fail,1775881631312918568,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0xa70d318eefd8032c31011932284f3fdc8128077e6bce0a3c17068055c7c8934e] ",send
6,fail,1775881634820415882,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0xa70d318eefd8032c31011932284f3fdc8128077e6bce0a3c17068055c7c8934e] ",send
7,keep,1775881637302997487,0x19aaa7c10072f1e43ced6082e7f3cb6a288da075d1799f12b6abd0ed5a53df6f,0x1,0x67a,3241.428,,
8,keep,1775881641064083939,0x2845eea3372c99dc256e651f103016cb7831bdc40dfdc00d309039bc71351065,0x1,0x67b,3251.211,,
9,keep,1775881644842328944,0xd0e23fd3ed8ede97c0e6de1dae9cd7d1eb740a74f2b75f66466309c438923c7a,0x1,0x67c,1728.602,,
10,keep,1775881647168873553,0xbc74aab77a6f83a369005440b56a481a67d8fbd3f33f15fe17852153f892d749,0x1,0x67d,3238.905,,
11,keep,1775881650848592957,0xe7a8fc64160798140ade7e2cc51d476d208334e98e51c4b6d26a97ed2e25b997,0x1,0x67e,3201.889,,
12,keep,1775881654467380182,0x1fd739864b5467dff8bcebf7444a76c690711c9cfbb0a6f7e200398e443b5bd5,0x1,0x67f,1927.055,,
13,keep,1775881656944201514,0x2977911de9d9e56324802e24d2b0a4b1d2031c2dd2f138cbc2376ec2c420970d,0x1,0x680,3183.108,,
14,keep,1775881660670678084,0x6f5c51250d9b5389b76decf752a4e44c1e2669c4e4679eecaf867fd99a7dedb1,0x1,0x681,3250.889,,
15,keep,1775881664418172288,0x13ee42949635504e4ffb4f0d845d5038b14b3a4f8a7b9884495402fb62e9f534,0x1,0x682,1756.36,,
16,keep,1775881666648904625,0x69f766c51490af00fb26779b5a0890433d1934f6d7db7f7d9711a2ace2335316,0x1,0x683,3289.547,,
17,keep,1775881670430661190,0xb797952dbfc53962b0caf7ba1b2461255b8ef0a357669553510a7c8cde08d6d9,0x1,0x684,3183.842,,
18,keep,1775881674113726573,0x8544d89703b073d44e761ec3c67568a7ca3e10f812e2d7e249398373b7847899,0x1,0x685,1780.812,,
19,keep,1775881676346133597,0x70b9e98492ca3e52ff36a81e59d427a64a454fc4b6dc3f794f0be875682a17d8,0x1,0x686,3206.799,,
20,keep,1775881679987827098,0xa9e4aea533c4fd9a04a444e50149430acc5fc6977679642f752a88cb6053d58a,0x1,0x688,3224.932,,
21,keep,1775881683634770130,0x7ac37e20122ae242162023b2779957a52bf8e3f10b853e7bb7c9ea4d2827330d,0x1,0x689,1934.691,,
22,keep,1775881686122436559,0xe23903d98cdb084b939f95c98345439ec0ca631bb0ab16f8ecd5f268b0df8721,0x1,0x68a,3163.325,,
