seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
1,fail,1775881100932992728,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x80c501f8bbdacfd538d3c0e45a79a53b05f618b0cb9c1f3b50edde0ad55179e8] ",send
2,fail,1775881102384724985,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x80c501f8bbdacfd538d3c0e45a79a53b05f618b0cb9c1f3b50edde0ad55179e8] ",send
3,fail,1775881103849548896,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x80c501f8bbdacfd538d3c0e45a79a53b05f618b0cb9c1f3b50edde0ad55179e8] ",send
4,fail,1775881105350754225,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x80c501f8bbdacfd538d3c0e45a79a53b05f618b0cb9c1f3b50edde0ad55179e8] ",send
5,fail,1775881106848786535,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x80c501f8bbdacfd538d3c0e45a79a53b05f618b0cb9c1f3b50edde0ad55179e8] ",send
6,fail,1775881108348653419,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x80c501f8bbdacfd538d3c0e45a79a53b05f618b0cb9c1f3b50edde0ad55179e8] ",send
7,keep,1775881109841536268,0xe96f6b2f92582ac67a54283ac508c47b37bf55a0921ea5c045ee961d10f512fe,0x1,0x596,1229.501,,
8,keep,1775881111693828186,0xda77db14d5f40014db3457a472939aedda8edb8210d6ce43c1bccd24e9b8f13b,0x1,0x597,1197.19,,
9,keep,1775881113361769703,0x6b1e54dd93c00430e55cb4d45484515c645acf1a9420671762a8bce533f2c97b,0x1,0x598,1169.638,,
10,keep,1775881115027075418,0x0ae26b290aca91bd57fa6b28cd7bd5c950d258e17efedf390470db170c3e2505,0x1,0x59a,1227.865,,
11,keep,1775881116790339116,0x3ea0e2f482e28fc6932ef2d5860d614921dc31ee47855a3cd51175f329857bbf,0x1,0x59b,1183.136,,
12,keep,1775881118394665691,0xf431f321b5d1021100f8163f1d1521d03b8ab3cadab21d6c64c69e2d9a45c633,0x1,0x59c,1203.295,,
13,keep,1775881120244209570,0x24671ab4f28046ad46c7dfdd7d6d64ed67d3f92e044d410399cb1b4dddc6523f,0x1,0x59d,1176.62,,
14,keep,1775881121822546078,0x86b2294d40c5afadbd5cbd4041ad8f2269b602d4767f68d3c45d32943e73b1e0,0x1,0x59e,1205.212,,
15,keep,1775881123533728402,0x0505c667e2f009abc2cd4c8663288ed094e9d3b8b99730d8b85e121e2c5f170b,0x1,0x59f,1192.176,,
16,keep,1775881125238151873,0xdf02674f24b8e541531a0bd5ebc862a3cb87a601bd81d29a70b105aa0df94541,0x1,0x5a0,1221.158,,
17,keep,1775881126908795672,0x5f5c8b45d3046f5f4519f82c6b5f7f199d49d34400ede26cbac8daef8b92dff2,0x1,0x5a1,1203.17,,
18,keep,1775881128521927422,0x525ce10dcd271a5fe5bfe21758157fa6cb7aa1e116c9f41a2f407efcb14ed620,0x1,0x5a2,1216.986,,
19,keep,1775881130253155068,0x9f5ea0b7add7474109c0e4e59c50ec66855a1069a409330bd0639c42c837faf0,0x1,0x5a3,1228.966,,
20,keep,1775881131933986821,0xa5fa4952366e14a5ec8ecd0461bedb4315b14aee3f1e40a6a700562aac70c30d,0x1,0x5a4,1165.021,,
21,keep,1775881133520079197,0x8b721e759d66d951424336d7a773a160b4f1ac37b3044bbdc4d6ad5870741285,0x1,0x5a5,1178.626,,
22,keep,1775881135113530486,0x3db7637c444d28aba4de50b2e39185e35da407f186d861950d9ed746d954a04e,0x1,0x5a6,1280.5,,
23,keep,1775881136904225788,0x6ddd0078d6ed28c4cd7e03cfd31695972f0722beaf59ba9085d1cc50602f9e38,0x1,0x5a7,1175.317,,
24,keep,1775881138578798611,0xf3d7a3d563f991d36c459673b5b2800c25b2b91b6e03a8b05000d9a8f808792e,0x1,0x5a8,1200.366,,
25,keep,1775881140194355802,0x7bd82e7cbc157949c0262cf4ddb26823a1a54be5d38e7b539530ffd4e6516f37,0x1,0x5a9,1203.946,,
26,keep,1775881141859665777,0xae26e1f1341d5fdbb1a31b2ab049a4c363b46ba4e45c0a8100e5c978165147fa,0x1,0x5ab,1200.313,,
27,keep,1775881143589986132,0x7dd757620acb8fe9a62a0bd5f1648aed229806e3346161b7be40e81a883554f7,0x1,0x5ac,1205.982,,
28,keep,1775881145291819083,0xce9b8f9084ea7503bc0c9a7b9075b7bc19d768d7960514c316b8dcb829527835,0x1,0x5ad,1235.108,,
29,keep,1775881147125669691,0x45bbeb15ff2e6a6d3b377312906ddf703ae8fabfa99e1f5c85c63100d3eb4eaa,0x1,0x5ae,1172.534,,
30,keep,1775881148738041263,0x991a7dd0e81d5cee686a1d5ca94d3f2f5b6980a9e5a849c41ee3104f33adae82,0x1,0x5af,1212.935,,
31,keep,1775881150352073743,0x52632588fbf8891e43eed11f05604472ca0a3cdaed0483b4e60d0b7862de8b91,0x1,0x5b0,1165.47,,
32,keep,1775881151998047722,0x748ae8388d0f6ac2ade3fbf4ccaee9d22761eabda98b9932f1832587668b9224,0x1,0x5b1,1262.147,,
33,keep,1775881153780373437,0x3301c7b009fd7b4fbeb716c1ecc84ce808cfd266066af69aba4a7f0915c038d9,0x1,0x5b2,1205.508,,
34,keep,1775881155526984335,0xed0b10ac8362f56968c1e13a3a27c7ba559e5cb644cac3e4a4975c4544ee8ad8,0x1,0x5b3,1205.466,,
35,keep,1775881157167887147,0x6863d40c01d31eadce1446cefcc0b4714322f2c4a0c82328e429f7c53bad7fbe,0x1,0x5b4,1163.691,,
36,keep,1775881158842850135,0xd03900706d519dd42ceb57a471ba4824a4548ebc939e9170fdc92e6280cbd7bb,0x1,0x5b5,1180.541,,
37,keep,1775881160417887067,0x3797e0d3488a6770506009bae3097be74d675181d2c786f30595b87797045eb6,0x1,0x5b6,1189.9,,
38,keep,1775881162039677347,0xb451eba577658d2156f44f01596a220e16dc9e5e2c0288dbbe3e62b3713a9783,0x1,0x5b7,1184.002,,
39,keep,1775881163888013149,0x77d762ada4a0255a9180f12d56e40944331b5845030a74fa2228caf50c6004a3,0x1,0x5b8,1169.641,,
