seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
1,keep,1775732502125750538,0x2bada09e86b54ad79a59dcfaa0f95a04b4119e47db44c94f9a11fb365b2bdbaa,0x1,0x111,968.682,,
2,keep,1775732503580172499,0x8f3ffe6de96e774292059c547ec2830c4bd26a9664a0a7e563a112e1575ebd19,0x1,0x112,992.956,,
3,keep,1775732505060707720,0x58bdef2d16238b59bf31dadd4d6ff0057118889a34f39322b4d7f6c454e69e02,0x1,0x113,1003.127,,
4,keep,1775732506567419352,0x83c9cc9ad81a2a083f7c6f81da144326bcd22c909bb144c7dea8c2d3a01fe600,0x1,0x114,1017.866,,
5,keep,1775732508070567504,0xe520669c13863ec35e2d40eaf360bcb595002777f78b913decfa01b5a93c0424,0x1,0x115,952.737,,
6,keep,1775732509551119093,0x8583aaf072858c8558931212d3647fa55aeac4a6b9642caba6fe6c707007d52b,0x1,0x116,994.364,,
7,keep,1775732511107164037,0xa7eb55c995d791c4d3ce1f2e0948aa2d1bf1cefad32836003d7128be16757f5b,0x1,0x117,977.506,,
8,keep,1775732512542797220,0xcb34164c67191be9212430f775f27d48a556a5a1895e934a6d1e53f7d464dd6b,0x1,0x118,973.93,,
9,keep,1775732513955426655,0x13096aa2547f452f56c06a4f4d3ceae37d389bcb7cabf200643fa2230df0ed9c,0x1,0x119,975.73,,
10,keep,1775732515370008785,0xa78571f1ecf02e38476d2d130afbfbf95fd853291395f06e4a798d6dc6938049,0x1,0x11b,970.447,,
11,keep,1775732516792724768,0xcebe8d4339ed56f7232948c6d3380649740f21303e11069d63e6b97b32da460d,0x1,0x11c,973.899,,
12,keep,1775732518202084714,0x68ff17db3585dafe9b0555c9f078e3862b7a1f04f9f62aa4c698abdc13da5622,0x1,0x11d,991.513,,
13,keep,1775732519605629895,0x99fb7fb1c9a49ba1d698f851db6fbd0d76ea7648892f5fd221e86743525edfc9,0x1,0x11e,972.951,,
14,keep,1775732521123951076,0xa5a5dbc4e73b8dbfdaa47c6153f98b56f4aa248b9fab8e10b4a605ee7021561b,0x1,0x11f,1037.75,,
15,keep,1775732522634987210,0x1bfbf161346b4a6e25d4de835bb147cf2ca398cd170801127153e527b9e755fa,0x1,0x120,995.687,,
16,keep,1775732524109693851,0xbe6adb4ab1d8f970218d61a37fbc1eaf2e83d4ede9eb5173a65a24e88f34df99,0x1,0x121,997.685,,
17,keep,1775732525554459917,0x145d0bc1a7d5611030756057cd99facf2bd74592ed860e08b8adc88145845fab,0x1,0x122,971.124,,
18,keep,1775732526935993669,0xb6eac968c0a2e1d134edc17dc81a9689cdc64a390e507f074b70c9281a826462,0x1,0x123,944.938,,
19,keep,1775732528408292454,0xbf279b96f5344c20ad76bd9da7416db754c7ad7444a92aad976d0edfcb400d74,0x1,0x124,1059.894,,
20,keep,1775732529929220175,0x12cee9ea8e814b47a39a294c43bb98959f9609f10e66a05ddc8fc75b78836969,0x1,0x125,968.379,,
