seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
1,fail,1775732782096094808,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x53ec5dc42fb4e69559f2ea9d2e80f361feeda7b3a68f4fed61bf820291204eb9] ",send
2,keep,1775732784610443011,0x15d386b63b6e8b581b912ac3b3187a9d93e790e5989f67bb9acdd7a9b6ad1dde,0x1,0x171,1498.111,,
3,keep,1775732786640061575,0x3ed10673baf2baa42381bfb6dcb0e405644eb05ddc5877da79c730026876692a,0x1,0x172,1508.331,,
4,keep,1775732788756442387,0xa6252972c0db988421f80cd659a38654f32db77026169cec33405095f2648630,0x1,0x173,1518.118,,
5,keep,1775732790947304772,0xbca29275aff85745b86316f5a0126da62a52612b60a86cf5bb2c9ff78ba231d9,0x1,0x174,1593.292,,
6,keep,1775732793042719587,0x68260706d272af991127f6ff5b2494275f80d1b5dea23b66f43e61ab29f76bd1,0x1,0x175,1502.091,,
7,keep,1775732795035380883,0x5d49820b3884c3bf739907098c8ac678ff950dfef534929b88e41b166aa6c82e,0x1,0x176,1488.924,,
8,keep,1775732796995875797,0x838d1696f840c47ab09c5128340a77541287b5c7b9da6cff67e62e422099da68,0x1,0x177,1568.64,,
9,keep,1775732799076724621,0xb9b04c69156d4268a98d8d44b9b059a08e664298e6c37cd5b66cad793ef036b8,0x1,0x178,1503.049,,
10,keep,1775732801152791578,0xb9995e737c7923d96fec3ccdf7c62f29dd17adc82fbee70b2b7a769ff05daf10,0x1,0x179,1525.17,,
11,keep,1775732803256489656,0x794108ec261a290d988514a660b0afd27fce56e30c320fd2215d82549ae656d7,0x1,0x17a,1461.005,,
12,keep,1775732805293071121,0x22851d94d0d7ef1fd0d241f7177d0e3a8af0f344537c3526382941a22618bd98,0x1,0x17b,1527.077,,
13,keep,1775732807326270517,0x34c15cdc730dae90f418148c14824b17ff92bea1f5d8be3b635d0419b6debb58,0x1,0x17c,1511.097,,
14,keep,1775732809357281652,0x523d19d11efadc68185f779d950c82a036704ed91649bb0860a874bc37fa2936,0x1,0x17d,1514.962,,
15,keep,1775732811345534023,0x1c5cf24fb6a5b593053cf06ac00f79b3376659e74f9557454bdbbc163ac637f9,0x1,0x17e,1492.481,,
