seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
1,fail,1775732828828292829,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x53ec5dc42fb4e69559f2ea9d2e80f361feeda7b3a68f4fed61bf820291204eb9] ",send
2,keep,1775732832429233061,0xea15d48df61e88740081103927d4ea7a03b502772fcf9183e3ffcb770fdeea5b,0x1,0x180,3216.118,,
3,keep,1775732836213149402,0xbe2d534f9cf2fe9c194c154d32473044c542e80ba9afec6652305c87fae5893e,0x1,0x181,1840.004,,
4,keep,1775732838668330054,0x07a91d413e68c3364b8b2acd0027108ea4f0218701f8c20796790b6446858c0e,0x1,0x182,3236.028,,
5,keep,1775732842393313380,0xad58ff983f279b394779fca3920c64e484686ab789ae38f8bb942094c4cffd8b,0x1,0x183,3219.08,,
6,keep,1775732846216213286,0xa42620d383f6b73ce49f11c1c1bff6aa257beb7b1b4db0f5d706e1d7705ca98f,0x1,0x184,1708.628,,
7,keep,1775732848388545738,0x9d64d19b32c7981c34043e58090ef25585a8a661462eb9d83e0e8f6111c4f186,0x1,0x185,3292.896,,
8,keep,1775732852283775810,0xf8f08ac7969088b960ec5381f476f242d34ce25eeeb5acbe8bd3ec976338b10a,0x1,0x186,3140.845,,
9,keep,1775732855885762702,0x66b91028788ecea1e4166d089ce3f791e5eefad63b7a936ffcbfb82cb2acdfcd,0x1,0x187,1734.188,,
10,keep,1775732858198667837,0x29c23945b6f2bcbe4b813ea3433de863c00c421c36b2dc0fda7c3e2346487ca3,0x1,0x188,3206.131,,
11,keep,1775732861949687249,0xdad3e6b240a9e9c0edd90934d24c412d8c38fcfb7c42c60486979c6528e1bd4d,0x1,0x189,3282.975,,
12,keep,1775732865828971756,0x5c07394e61df17a9e68b9da8739b858d4d30eb428a99cdfc9cfbd65e5839f492,0x1,0x18a,1536.798,,
13,keep,1775732867940842662,0x23aae306c801abfbab828122e9520e41b3ab8617ef809f5722146787595b1a1d,0x1,0x18c,3208.619,,
14,keep,1775732871690035478,0x7c319e2037d9db654071c16206aa961dc91080c71bfb57db6aa8928dcf4a6b2d,0x1,0x18d,3184.384,,
15,keep,1775732875414222038,0x9fa35d3f74a9019a95b2ee40702b7ccb6c00fc1dc9ac275c1848b264a1046855,0x1,0x18e,1755.611,,
