seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
1,keep,1775732599134788090,0xa8a7b85bcd72739de3d1adc8ea8e4a607d37211bf9a2090bdb0c7c86718a7052,0x1,0x127,935.754,,
2,keep,1775732600462196164,0x27a02ffc25b4bf51411716d896c6877eed19927e386477c9de24037a1911a560,0x1,0x128,959.796,,
3,keep,1775732601815541701,0xe3b84eaff9c64d78b7386e9aba1b97f8e32bde4a06a8c123ea7abc59cce73838,0x1,0x129,993.64,,
4,keep,1775732603282173767,0xed12cee2188117893a53991b3b145dd2cb166225211dae8b40642bf3b4efc0e4,0x1,0x12a,1001.364,,
5,keep,1775732604758163084,0x37848a9ea3b5d74d7304111090bd55487e46cefb6e84a593edc9e19642a1355c,0x1,0x12b,1000.681,,
6,keep,1775732606159678069,0x76c03fd50e2b94afe47f94f7ccd470a6362e926372269a3a15a0a0325ce7b6be,0x1,0x12c,940.948,,
7,keep,1775732607532757382,0xb8b6bf9a22eeb12fb12e35f76e5aab8f85125f6ba0ffec665dbedb39a33a1811,0x1,0x12d,1012.001,,
8,keep,1775732608997347065,0xb764ca95975bf0d71300d5aae68f3a8d5d4c2c8a96ebcbb9c8e4dd4cdf3a75d7,0x1,0x12e,980.746,,
9,keep,1775732610394883413,0x92ca6964622d1eadc6ad17ad5353f6c1b3bf345f2447e3f0b7938d632c26e7bd,0x1,0x12f,953.474,,
10,keep,1775732611804626379,0x14aeceeef497c5df48f7091d1e5406b463dc3f7fd62415a215591fbf9a5d8855,0x1,0x130,954.167,,
11,keep,1775732613165722599,0xda8be888d0ac7c64854d40c758bb17f669f1201998a785724458b54a87a7685f,0x1,0x131,1069.045,,
12,keep,1775732614644910893,0x71403117fd3fb8dee698cb3221862373d64dca7e26e6be699375a476ffcd1c1f,0x1,0x132,977.997,,
13,keep,1775732616118364415,0x3b7d4aa50e7d6860a7c21b5245618cc80e4049b7296cd127067fe9d1f5afeff6,0x1,0x133,961.151,,
14,keep,1775732617558704398,0x059b3911345918343a086b407884ca38083c1b9145b00a8376781ed3e58e8cf5,0x1,0x134,978.622,,
15,keep,1775732619083718317,0x48466b0fce52162bfd4b1b91b331ac7aaee4d558c8bc9c9166f8617ef7f07c28,0x1,0x135,1015.328,,
16,keep,1775732620625977445,0xb8c4d616a73bcce659cf65839db5a79e930429d1b8ad00385126b4830af11643,0x1,0x136,1019.547,,
17,keep,1775732622250849507,0x2c7b4b9ffd872b8d3537be1dcc6e82404fe8b8c3555d7f33c9d9ce77e9691c0a,0x1,0x137,979.506,,
18,keep,1775732623653324846,0x6bec014edba772da0e7e297e50db8d153398038f14d83b9da17c00dcbea72b4e,0x1,0x138,984.124,,
19,keep,1775732625139145732,0xcf63ab314edd5378917aad8262669b81aaf6787279437d1152c799dec77b9dc9,0x1,0x139,999.463,,
20,keep,1775732626624388469,0x412d3f7f7599810cb61a2b5e97200970daaa2b7d99ebcd9e12eae02b9caff69c,0x1,0x13a,981.773,,
