seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
1,fail,1775732734204979245,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x53ec5dc42fb4e69559f2ea9d2e80f361feeda7b3a68f4fed61bf820291204eb9] ",send
2,fail,1775732735598194934,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x53ec5dc42fb4e69559f2ea9d2e80f361feeda7b3a68f4fed61bf820291204eb9] ",send
3,keep,1775732736999717785,0x212bc98968735e42f8c17bd53043b03164324ba162080bc8db1c1cca3d0bc821,0x1,0x15e,1161.615,,
4,keep,1775732738614577984,0x6c9b251d8331c47b53345423e9873c0ac7a37a2b04348ed1a84f0a62428d23b3,0x1,0x15f,1200.413,,
5,keep,1775732740394171976,0x2f531d1ec3bc5af3786ed075c25c721992149d791c9b8561a0a7e708d122b714,0x1,0x160,1189.047,,
6,keep,1775732742053987187,0x737fc0edfdd2aa8b48e1f77dc01303106f3e6b2ce65aa79b1b4c03edcde5a9b6,0x1,0x161,1166.91,,
7,keep,1775732743675826217,0x2723a81d5e68b22b50b1ff8b3a76e38d28828cf2c7dbcd7dbb5c752ae0c1a5a4,0x1,0x162,1279.751,,
8,keep,1775732745460727087,0x2ac4d1785abcc3519f9b29267a162d78589323a331d8a81e7bbb3b5734dc3181,0x1,0x163,1264.143,,
9,keep,1775732747196745899,0x56c21e3a81f8821e9d82ead6e5930e754feff86ea6f1be45ff939c3f8a19e9c8,0x1,0x164,1135.985,,
10,keep,1775732748800673821,0x33b07129d7f77d5bad644ac2d1664672a5cf40cf336bc575f1e17291853dbe5c,0x1,0x165,1186.637,,
11,keep,1775732750455298194,0xa0a3a5ed719230cc5d9381603956e98e2deeb7dc59762b068de24f33390ef40f,0x1,0x166,1183.885,,
12,keep,1775732752140349924,0x1a15b96a33ff1f3af164d8fe4a22b76a7bbf523a98abf9e8dbe003a717edc252,0x1,0x167,1201.204,,
13,keep,1775732753845901029,0xc4b0dd7d6a49f9e72d39f20d1e75ff3bb8677991fb3888dd28a0d77db4c2ab2f,0x1,0x168,1169.653,,
14,keep,1775732755448920489,0xbcb50b1c08ff3ece4077fad9512e7ff2c4b141ec897c381c2aae020f51b4e4fb,0x1,0x169,1202.485,,
15,keep,1775732757075370100,0xaf5695cca7fad49b9f1471ffc8d11a732c0fd890d1dfbec6e64dc2117435eff0,0x1,0x16a,1207.132,,
16,keep,1775732758682251324,0x3b4fd81efeb59ef7966e5ebb15660c5db8604b15276306f7139ff226a1fe46b7,0x1,0x16b,1223.559,,
17,keep,1775732760444435630,0x651db0fa5754541125aa2a63b3e161156d627a5f32bc0cbf91b7ab276a4bd36e,0x1,0x16c,1186.666,,
18,keep,1775732762151770798,0x5cc2cae2ba89d9a7add14d9fa38d8d1c6d4b6f8d19d45d89295a3dcc9bd10f1f,0x1,0x16d,1167.733,,
19,keep,1775732763734654785,0xefcefb1e6c146a21c7f739141cee4315457654fe4c929040de352b2855e7b82a,0x1,0x16e,1170.725,,
20,keep,1775732765357140522,0xcf40b3e63256e62a0468bc65c57bca6a9011c9cbf11837849368d082989566bd,0x1,0x16f,1198.458,,
