seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
1,keep,1775876474895787189,0xd690543dd5510a279517d7f453cefbc96a3b96d0ed482d2084cf524139c19b17,0x1,0x47,958.093,,
2,keep,1775876476190230457,0x3e0dd0cc9c147a544d1c0eecb8e3a24d5a17e049fde41445c1d1da687cf45560,0x1,0x48,902.817,,
3,keep,1775876477405432967,0x74c6936d4392e53636647b3df280e3bb07a56b14eac58b7b378e2f980a1422e6,0x1,0x49,1008.202,,
4,keep,1775876478713103176,0xa0083963315ea68241ba160779feb4abd0af817d6574a94d7c78d6390069cba9,0x1,0x4a,904.257,,
5,keep,1775876480076444374,0x17c2c0e297da92bef2f7d2a1d9cee6e0604a22e4578d89cc4c4f6d0908d8ada8,0x1,0x4b,899.201,,
6,keep,1775876481275332112,0xa88b2c83d12ee8826670d32fc8a453ff8fe0a7c822e854215bd55e822d4be17a,0x1,0x4c,877.626,,
7,keep,1775876482447676569,0xbebde5977c19e00c3809d6d388264249da11e91ea0cc238e4a89e03062cec785,0x1,0x4d,873.431,,
8,keep,1775876483628166628,0x7f69ce0692ac9c8293e9ce226472fa16892a5256d50be9bca6af05c2c219e37a,0x1,0x4e,917.237,,
9,keep,1775876484812028943,0x20bfc7979dc95a32da894bd82a7515c074475324e74ca1ba0e5011c38cfa7ac6,0x1,0x4f,885.63,,
10,keep,1775876485988087877,0x86cb75d7659c554b83c0148449b91455f43e30c1eec9cf599b9fe05ba1893fa8,0x1,0x50,897.351,,
11,keep,1775876487196524776,0x2e164a6f77f9b4413b8b52a91a58a53dcf84fc1258ee63a332d563beb903b9b6,0x1,0x51,909.576,,
12,keep,1775876488506020240,0xe9e229352d38fb14de1b7a7394ecaf1380185dbbf1d7823f0060cd41a4e4ea09,0x1,0x52,971.434,,
13,keep,1775876489842216282,0x5446935e2cf06d51929ed13a3e3edad40a35c0371829210fe36e8840de6e2d81,0x1,0x53,946.499,,
14,keep,1775876491184979822,0xbd10fd7fdb3bf1f74d660d25f8e56835a9c9c54ed617939f5b9c4fc1acc560a6,0x1,0x54,923.449,,
15,keep,1775876492439078595,0xd8c668cffcea3261ec063efecc85276811087c3075e07c0f44fa66581fbe4d48,0x1,0x55,901.138,,
16,keep,1775876493653076448,0x83dd59a323312cd3057e6233d99950fbd3cbd80c644602673c94bd212a7e5676,0x1,0x56,895.243,,
17,keep,1775876494848482737,0x1fe79c5cdfd715dadc1dedd68030d7ed462696b3ad5c44b21cabe33d3d383c92,0x1,0x57,923.409,,
18,keep,1775876496109666097,0x10f4be7ff2180ab3bf10155c2f0230ec0439c7e92e8ba9065e8c9835a970706d,0x1,0x58,909.657,,
19,keep,1775876497362741182,0xc38dff69e3daaca9463a1f095b14b962b256746f2e11206f799a56c02f23102c,0x1,0x59,904.393,,
20,keep,1775876498587172093,0xff3913512b23dbfa6503ffe785a14aa4c1ae6917a039583f87b4327f3e313df7,0x1,0x5a,898.427,,
21,keep,1775876499811154601,0x83df6d39203f5157527c15b2ecff96f5ed0729a7b5d4a4364bbcc22f8dd91d46,0x1,0x5b,950.988,,
22,keep,1775876501090300110,0x579e61b2028026a0ef54a99274249eaa728a80eaff340e53d47dd0670cb53eae,0x1,0x5c,934.417,,
23,keep,1775876502332146018,0x04c80724f283613e281ceb7234ac27bdfc0411ac07579281d47b387ff8cebb26,0x1,0x5d,945.977,,
24,keep,1775876503617416468,0xd309f41ced51ac25236fdcb0c207848dadf06965639522d7068833161a2559fd,0x1,0x5e,914.298,,
