seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
1,keep,1775876617303721183,0x21d1173cbcc1a7939e534d7d1e83791e8121651af318067d846e84cb8dc3c386,0x1,0xae,917.967,,
2,keep,1775876618604972907,0xbdb472df8e763178fbb9ea13a8d1d48bcb7f2e04e3d2fadc1ab658c7231ccd05,0x1,0xaf,921.042,,
3,keep,1775876619874415382,0xf829e233a042c175683c97de065a2466367527a978592461335727f2a5f27c5c,0x1,0xb0,923.602,,
4,keep,1775876621130975981,0x1e59944b8e620dbc243382565b67550167468fdab93f68c1ceede342c05a6d6e,0x1,0xb1,901.143,,
5,keep,1775876622346385137,0x9cfbc1e5df5325402ca80e0f9f1ad0ed9e988627c91b16c8c146a16b3745d9e6,0x1,0xb2,912.575,,
6,keep,1775876623623493969,0xcef27dc90835a65897a9565b78ec09dc03825a1a1bd734e849eb5cd4c6ec7d16,0x1,0xb3,918.089,,
7,keep,1775876624909996112,0x377109047ecccb8bff6da005d14d6c985c919a0e77579744cadd69735a3ddcfe,0x1,0xb4,917.842,,
8,keep,1775876626170789581,0x2e25d26d8839956d2acb419e16ca6ff907f33df7770522fe5c7d6124c9d54d56,0x1,0xb5,934.152,,
9,keep,1775876627452364656,0x62737c733bbafae18ed05e85f43c6417a424db57e5bde6db70988923a76d4f23,0x1,0xb6,934.128,,
10,keep,1775876628741497175,0x0b69b6c302229e47f1040e78102eaa8920cdf50d76d0a119b699a211e264a516,0x1,0xb7,933.592,,
11,keep,1775876630029414903,0x2aa57559d347d395143a62807320e0fbf0f194e8e2651172ac471921a2a3c282,0x1,0xb8,928.524,,
12,keep,1775876631286187062,0x07950194c4891538d93a4274562482c58e4ec68aea0419dcec844283df907754,0x1,0xba,902.304,,
13,keep,1775876632495633031,0x38b4a124b9eaa25df2216828ffb2c4b4740a165016f4fde5920a6dabf65f9fc7,0x1,0xbb,897.86,,
14,keep,1775876633717109657,0xf74e82185eb2397e13a0d9402b5e6654f6e9bfdde6cbbea7d40812fabcdbaec4,0x1,0xbc,905.592,,
15,keep,1775876634952143724,0xf1031f142b041306c3f73da42a6dbc7064b9f1c8aaa53890ce375954fad05ee4,0x1,0xbd,916.75,,
16,keep,1775876636227499108,0x62fa6301bf8234db5f5b8a3950feae3ab97491b3885290becc99bead7bca24cc,0x1,0xbe,922.083,,
17,keep,1775876637453670925,0x415bb6b98cb8d759423361abc6d287e45bd0de7f469593fffdc201f5674a2146,0x1,0xbf,906.765,,
18,keep,1775876638759226282,0xd8e2729d84cf36c99248ebd389f6b0a576176ae3573ecf0e08354d6c5f081854,0x1,0xc0,930.0,,
19,keep,1775876639999081869,0xb3b49aadd34c75dd51d79586c7d1c7c5805108f77dd6e264c878b18a59828030,0x1,0xc1,929.323,,
20,keep,1775876641340759615,0xa7fc0d015e1a5a5708a85d6da007066003ea407e6fedcb8996f9dd259ddf6d4d,0x1,0xc2,993.141,,
21,keep,1775876642681658264,0x44432341feb17ada489d188f8e20e7b4cfa600851bfcb5fb847c70862d8250cb,0x1,0xc3,927.848,,
22,keep,1775876644004618353,0x80281aa31e597c01499c3f617b960280c0dab21df9d3126dd38ca90e29189c1f,0x1,0xc4,939.295,,
23,keep,1775876645310418152,0x94b10cb91318b602f01227b2675f893b3a651efec133210a1741dc1ae6124e16,0x1,0xc5,951.262,,
24,keep,1775876646612067975,0x067426bef24d1c35a4b307a71f3755da854aaefaf096a83d0c872bd58ffe5653,0x1,0xc6,916.44,,
25,keep,1775876647868603452,0x318c43b2558665bd4530aaa832f73160f3327ddb48c4eaf6b4dff8f3d8ec6754,0x1,0xc7,930.522,,
26,keep,1775876649162158210,0xef87346dd773537b8b75df5b803d7ca3024febfd63b4f1b6e6c9a04b9249eb45,0x1,0xc8,966.413,,
27,keep,1775876650444488219,0x16d3e6b9017bdf81ef5c1e9c7387f3e8d31985edab20fbd60c3555e2928d3717,0x1,0xc9,892.965,,
28,keep,1775876651648546941,0x884c8aa39fa9801478c99d73dde976943f95f7c270320406465b90202dd18999,0x1,0xca,957.536,,
29,keep,1775876652993403761,0xd996582060c41a350625b5980fa33f9504486f07bc655b090897efce2c5e6b6d,0x1,0xcb,925.817,,
30,keep,1775876654293066311,0xf5618b7b98b0ee3586258e20a21663c4d903ff4c8ffbc8ee56e3349eaeed33f4,0x1,0xcc,939.899,,
31,keep,1775876655593601975,0x3f6fd15aadf7e47f0ff21e5eccef0493207cc1ebe217ad52c1f19de3e8ad16d0,0x1,0xcd,962.489,,
32,keep,1775876656911903720,0x94556615d49949896ce712c9b091cfa446b8c94bd7fcdd5d43162290c01b0426,0x1,0xce,956.334,,
33,keep,1775876658207779060,0xa075dfcaa521f5d926d2de079870802942ec35cad3c9b098e55843a5ff5ffa08,0x1,0xcf,934.719,,
34,keep,1775876659661872612,0xea04115e001776e439602d1d85f1fb0a9bed49a81a32a6d3bb196cca280192d0,0x1,0xd0,988.514,,
35,keep,1775876660993487650,0xcc1938402dbda824ab8a3ef5d85bb343f157e887bcc771b5e28216ae73077633,0x1,0xd1,891.919,,
36,keep,1775876662184796403,0x344fd5f053ede7f52d283dc417df5fc783b6cbd9f36ad9434b8b9ac2c7c725ec,0x1,0xd2,876.833,,
