seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
1,keep,1775876766576020259,0x69a9c146db3592782e69d9af04314328b5b943eea734a562157cba60b0e4eaaa,0x1,0x110,922.557,,
2,keep,1775876767860237748,0xa91a10b3d9757b6c962b387ff91c274a7fb812bf3d7f35691a33dd55e975dbd8,0x1,0x111,944.219,,
3,keep,1775876769181973651,0x66ad06149efd25c61c6c48fa2ce4fb02511c85f86c2fb567613caf9408c183da,0x1,0x112,957.438,,
4,keep,1775876770486736317,0xdcc14b39b6a60c2c444ed55940cfac806a61a4798b079b0e22e41c92694b2410,0x1,0x113,980.492,,
5,keep,1775876771796480860,0xc890f1cea3e6b472afa85e8dd6465954698474a8cc41e9adf6b5e852a7d5113e,0x1,0x114,918.471,,
6,keep,1775876773081784622,0x72f7e1e3236b73c680e868fcc201356b072706a8043168a02bd22f74f2165eaa,0x1,0x115,958.969,,
7,keep,1775876774357028957,0x535f5620126e445f5ad0fa8836721f31e6a58c6aa5d27bfa02b813d1d70600bd,0x1,0x116,946.153,,
8,keep,1775876775650895554,0xc47df5dbb32a6e6eb7d59634f1ce68e1924058321e337cc337299c41847e9bc3,0x1,0x117,964.27,,
9,keep,1775876776980250284,0x47f26ff3a274e79c1cf8d82a3dd0ccf42c0e8aa5fe72835818567f30252a35bd,0x1,0x118,949.988,,
10,keep,1775876778255158874,0xe71055c0af9074724fb0305c025e399f9b9ff646d681e519796e562d2716caed,0x1,0x119,956.442,,
11,keep,1775876779569063631,0xe630de49b0377cd47f6119fb25206e17d1ba33a5e3547886f6ac70eb919b7944,0x1,0x11a,943.269,,
12,keep,1775876780860194344,0x647355f1a1d8bada244e692b364280c764d8254b15143fc75c051bff2d9be25c,0x1,0x11b,975.808,,
13,keep,1775876782198430345,0xfebea44feff91ef1a988061f8a53f783f3dd082d38a4ce0f49b0dd2925b2ded3,0x1,0x11c,961.677,,
14,keep,1775876783521745342,0xf8cc40ce6e02404eb8b14fbdffea5974bad224a83c5afcaa81b83748f386b394,0x1,0x11d,991.242,,
15,keep,1775876784872992039,0x82ebe75823a3915d3feaa734d63461b9c703ae3ab376b2a0260b2e8de01a0f7f,0x1,0x11e,950.361,,
