seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
1,fail,1775876909003638401,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0xaea64a401463bf729b7ba6f0639d7d70e6d04c8ca02f14c0a0f188a05bb8f2ee] ",send
2,fail,1775876910331720129,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0xaea64a401463bf729b7ba6f0639d7d70e6d04c8ca02f14c0a0f188a05bb8f2ee] ",send
3,fail,1775876911676093540,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0xaea64a401463bf729b7ba6f0639d7d70e6d04c8ca02f14c0a0f188a05bb8f2ee] ",send
4,fail,1775876913057294534,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0xaea64a401463bf729b7ba6f0639d7d70e6d04c8ca02f14c0a0f188a05bb8f2ee] ",send
5,fail,1775876914445344930,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0xaea64a401463bf729b7ba6f0639d7d70e6d04c8ca02f14c0a0f188a05bb8f2ee] ",send
6,fail,1775876915804329107,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0xaea64a401463bf729b7ba6f0639d7d70e6d04c8ca02f14c0a0f188a05bb8f2ee] ",send
7,fail,1775876917158061937,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0xaea64a401463bf729b7ba6f0639d7d70e6d04c8ca02f14c0a0f188a05bb8f2ee] ",send
8,fail,1775876918521340024,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0xaea64a401463bf729b7ba6f0639d7d70e6d04c8ca02f14c0a0f188a05bb8f2ee] ",send
9,fail,1775876919854221480,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0xaea64a401463bf729b7ba6f0639d7d70e6d04c8ca02f14c0a0f188a05bb8f2ee] ",send
10,fail,1775876921203440348,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0xaea64a401463bf729b7ba6f0639d7d70e6d04c8ca02f14c0a0f188a05bb8f2ee] ",send
11,keep,1775876922549746067,0x20c4d92b2fb0cf2d7dbbc91753931359859afe4f0b9b0283e0309aee0584ac3e,0x1,0x178,1142.715,,
12,keep,1775876924067608859,0xc6ad462596221c6eaaaf3c8be636e6d903a31acc3534f805decc227a68b63be3,0x1,0x179,1145.377,,
13,keep,1775876925592205594,0x9cfd1a5b12a058f94fc74ddde2af3a4b6029d9169832b37a445bdb5c543aa07c,0x1,0x17a,1144.186,,
14,keep,1775876927112648134,0x2f0cd9804d2169bfef068e64f5a6422528532c5ccdbcf99b4a296b115532549c,0x1,0x17b,1144.109,,
15,keep,1775876928597701257,0xb3daea31d43d69a7a4e5e77d7915c139c625e15066e225fa700c496f21f63bc9,0x1,0x17c,1157.812,,
16,keep,1775876930148997966,0xb9007098f7c7c8145c1ef72092dda49a0ea5dbb24198d47c256958c253b74977,0x1,0x17d,1154.367,,
17,keep,1775876931642326669,0xd58774d0021e4e149993bc352691e38231747a780aa5911f5f7709771edad484,0x1,0x17e,1155.645,,
18,keep,1775876933162075938,0x9d9a3e287d7cf2c064b2ef65c20547a53dc6d7345a1ef86fcd9a18d69384e5fb,0x1,0x17f,1143.731,,
19,keep,1775876934654889634,0x3f2caeec032f6da905fa990fc66855bb1770f43dd2f7062400645d640e17b877,0x1,0x180,1139.593,,
20,keep,1775876936165108763,0xf09c2642b6417750ce1afc3decd157d9b16b0718b5f6be37afd593fcd84637f1,0x1,0x181,1131.771,,
21,keep,1775876937635136417,0xaccb59f19e43af7b3c0b5301135cdacd1c0c78266253e15a8aac21e37a51d094,0x1,0x182,1155.009,,
22,keep,1775876939103283418,0x8a073ecfc39faa4ddda72f1a8c348d47a8df6b24ba79ba234eab18697dcbd58e,0x1,0x183,1133.785,,
23,keep,1775876940603388148,0xfaca611536cdfcba6897761938895433e9646409e290c74038440cd97d0099b3,0x1,0x184,1144.836,,
24,keep,1775876942123175141,0x047084668a6aa1584bf92039307934812ed5598572f58daf7d371c35e47d9c47,0x1,0x185,1127.454,,
25,keep,1775876943627892796,0x34d63d81b39716eed33b74044109c5de85f2355325dd989251b0d2a94d55fd4d,0x1,0x186,1138.552,,
26,keep,1775876945136436451,0x531c53819cce14d1fb6e902e284f98290325f08e7306521888e7166b8390a2a9,0x1,0x187,1139.816,,
27,keep,1775876946637602123,0x1cbbd4f6e02ca9b6675c4c6c32a189fc592bbbe099a0a31ce7fc1a3d5a3091ad,0x1,0x188,1141.089,,
28,keep,1775876948153156236,0x06141bc1b263920c700df63ef6150d2dba3587d47ce08e7295fa85f665682c57,0x1,0x189,1131.606,,
29,keep,1775876949616942732,0x02b833a7fd07cf831b3568eab878bbae6980b160d2d8934762a475c8ae09579a,0x1,0x18a,1114.967,,
30,keep,1775876951101210861,0x7133096cc4003f4b1350daaa5fa4d362b7f42fa1f3e7bcd453542b19412a3573,0x1,0x18b,1132.854,,
31,keep,1775876952602798281,0x0c698839536b1870f3a5fd3157fefda0b33f492f31cd539bee45deacacea25b5,0x1,0x18c,1143.115,,
32,keep,1775876954121853706,0x7566084dacb61d3933fd7b62b26a4f0a4ebf94885910d9f13e48805621acbe91,0x1,0x18d,1161.868,,
33,keep,1775876955677673026,0xdb2659899618194d8b83482d6fad949877d421ed87b0182124da32ca00c59fbe,0x1,0x18e,1122.793,,
34,keep,1775876957165085543,0x6604c7dfe5e339b8add4078da61c1b9dfcb0b2b370e3a656cbe56fbb9ae352d5,0x1,0x18f,1150.902,,
